ID #,Date In,ST,TT,Wheel,Color,ColorName,Brand,Model,Quality,Condition,Status,DateOut,Value,Remarks,,,
5,02/17/11,18,,,000000,Black,Schwinn,Sidewinder,C,D,,,,,,,
14,02/19/11,23,,630,000000,Black,C.Itoh,,C,C,Earn a Bike,,,,,,
21,02/19/11,20,,559,000000,Black,Mongoose,XR75,D,B,,,,Suspension Fork-doesn't work - was hook 177 now missing?,,,
29,02/19/11,18.5,,559,000000,Black,Giant,Yukon,C,D,Earn a Bike,04/30/11,,Cro-Mo,,,
36,02/19/11,19,,559,000000,Black,Ross,Mt. Rushmore,B,C,,,,,,,
38,02/19/11,15.25,,559,000000,Black,Specialized,Hard Rock,B,A,Fix for Sale,04/14/11,134,Fix for Sale SOLD 134,,,
39,02/19/11,23,,559,000000,Black,Ross,Mt. St. Helens,B,A,Fix for Sale,07/10/13,9,Fix for Sale9,,,
57,02/19/11,19,,590,000000,Black,Raleigh,Roadster,C,C,,,,SA hub,,,
60,02/19/11,19,,559,000000,Black,Specialized,Hard Rock,C,D,Youth,07/10/13,,Positive Spin,,,
66,02/19/11,21,,,000000,Black,Schwinn,Express,C,D,,,,, Mirror,,
69,05/07/11,,,,000000,Black,,,,,As-is,07/10/13,,Volunteer Hours,,,
72,02/19/11,16,,559,000000,Black,Raleigh,M20,A,C,Earn a Bike ,,135,Earn a Bike135,,,
78,02/19/11,21,,630,000000,Black,Huffy,,D,C,Scrap,04/04/11,,Speedometer,,,
85,02/19/11,19,,559,000000,Black,Diamondback,Sorrento Sport,D,D,,,,Rack,,,
89,02/19/11,12,,559,000000,Black,Raleigh,M20,B,C,As-is,08/20/11,,,,,
114,02/19/11,19.5,,590,000000,Black,Sears (Austria),,C,B,,,,,,,
119,02/19/11,19,,559,000000,Black,Shogun,,C,D,,,,,,,
130,02/19/11,20,,590,000000,Black,Murray,Racer,D,B,,,,,,,
131,02/19/11,20,,590,000000,Black,Sears (Austria),,C,C,,,,,,,
136,02/19/11,23,,630,000000,Black,Schwinn,Traveler,C,B,,,,,,,
141,02/19/11,22,,559,000000,Black,Raleigh,,B,C,Earn a Bike ,,129,Earn a Bike129,,,
144,02/19/11,20,,630,000000,Black,Eschelon,,D,C,Scrap,04/04/11,,,,,
162,02/26/11,0,,,000000,Black,,,,,Youth,07/11/13,,Positive Spin?,,,
165,02/26/11,0,,,000000,Black,,,,,Youth,07/12/13,,Positive Spin?,,,
170,02/26/11,0,,,000000,Black,,,,,Youth,07/12/13,,Positive Spin?,,,
171,02/26/11,0,,,000000,Black,,,,,Youth,07/13/13,,Positive Spin?,,,
172,02/26/11,0,,,000000,Black,,,,,Youth,07/13/13,,Positive Spin?,,,
180,03/14/11,16,,559,000000,Black,Schwinn,Crisscross,,,,,,,,,
191,03/16/11,0,,,000000,Black,Raleigh,Super Record,,,,,,,,,
